sums,7
cracked,3
climbing,8
fence,2
suffering,7
32,5
07,5
magic,8
mellow,2
victory,6
utterly,4
111,2
drinks,2
ages,3
ive,10
quarantine,2
perfectly,7
it´s,4
wasted,2
clap,3
hike,2
relaxed,3
woww,2
showed,6
creepy,2
thread,2
achievement,12
toronto,3
winter,22
unbelievable,10
route,40
extreme,5
lake,4
challenge,9
portrayed,2
june,3
setting,4
essence,9
applause,2
ms,2
recently,5
experienced,2
extremely,5
sharp,2
exhaustion,2
lonely,7
logo,2
docker,4
ftw,4
grab,3
brew,6
headed,2
fade,3
flick,4
public,5
traffic,13
lmao,3
irn,2
bru,2
